id	f0	f1	y
169	32	81	0
170	81	30	0
171	1	13	0
172	99	83	0
173	72	97	0
174	4	94	0
175	86	95	0
176	52	18	0
177	7	78	0
178	29	0	0
179	45	31	1
180	21	34	0
181	13	38	0
182	39	25	0
183	47	67	1
184	81	69	0
185	34	6	0
186	97	51	0
187	77	18	0
188	5	85	0
189	2	51	0
190	35	95	0
191	28	72	1
192	17	51	0
193	69	45	1
194	97	24	0
195	75	57	0
196	26	35	1
197	95	99	0
198	88	92	0
199	66	77	0
200	78	59	0
201	33	59	1
202	71	67	1
203	12	52	0
204	65	81	0
205	23	82	0
206	30	39	1
207	80	51	0
208	76	35	0
209	77	3	0
210	58	72	1
211	23	89	0
212	87	22	0
213	53	5	0
214	86	6	0
215	89	5	0
216	12	39	0
217	99	54	0
218	84	39	0
219	35	28	1
220	28	57	1
221	34	53	1
222	47	91	0
223	0	50	0
224	22	48	0
225	69	88	0
226	2	19	0
227	83	92	0
228	29	61	1
229	58	65	1
230	25	89	0
231	8	89	0
232	47	39	1
233	46	94	0
234	79	99	0
235	70	75	0
236	14	16	0
237	43	36	1
238	97	37	0
239	50	88	0
240	2	85	0
241	94	84	0
242	69	43	1
243	12	76	0
244	81	52	0
245	28	13	0
246	18	83	0
247	92	87	0
248	60	64	1
249	72	1	0
250	64	87	0
251	48	14	0
252	56	7	0
253	66	98	0
254	62	17	0
255	96	46	0
256	96	72	0
257	24	63	0
258	26	99	0
259	94	13	0
260	48	1	0
261	50	20	0
262	30	20	0
263	42	14	0
264	34	61	1
265	46	49	1
266	94	86	0
267	52	57	1
268	85	20	0
269	23	26	0
270	7	11	0
271	44	10	0
272	71	1	0
273	39	22	0
274	33	15	0
275	30	77	0
276	46	57	1
277	19	20	0
278	35	41	1
279	53	90	0
280	69	20	0
281	14	17	0
282	36	9	0
283	33	79	0
284	85	31	0
285	70	97	0
286	86	23	0
287	92	8	0
288	16	1	0
289	46	23	0
290	5	60	0
291	35	66	1
292	2	70	0
293	24	41	0
294	17	39	0
295	69	100	0
296	73	19	0
297	92	7	0
298	78	90	0
299	89	21	0
300	12	47	0
301	10	17	0
302	14	11	0
303	67	77	0
304	71	62	1
305	87	35	0
306	91	48	0
307	72	55	1
308	89	68	0
309	86	38	0
310	64	53	1
311	6	60	0
312	24	24	0
313	75	40	0
314	81	54	0
315	2	90	0
316	98	54	0
317	83	23	0
318	92	75	0
319	16	47	0
320	26	29	1
321	6	6	0
322	45	9	0
323	73	37	1
324	37	21	0
325	69	22	0
326	71	67	1
327	82	41	0
328	8	1	0
329	59	98	0
330	61	31	1
331	30	90	0
332	70	96	0
333	83	56	0
334	85	82	0
335	98	17	0
336	86	35	0
337	55	78	0
338	56	70	1
339	25	24	0
340	70	65	1
341	61	10	0
342	73	79	0
343	57	91	0
344	95	19	0
345	45	43	1
346	84	12	0
347	32	68	1
348	57	32	1
349	5	32	0
350	10	19	0
351	12	18	0
352	22	60	0
353	57	40	1
354	20	52	0
355	89	56	0
356	98	81	0
357	83	29	0
358	99	13	0
359	97	67	0
360	18	9	0
361	65	96	0
362	45	98	0
363	37	73	1
364	45	66	1
365	63	74	1
366	2	82	0
367	19	45	0
368	15	3	0
369	87	36	0
370	71	19	0
371	41	93	0
372	29	44	1
373	59	90	0
374	95	30	0
375	35	86	0
376	63	28	1
377	59	18	0
378	42	69	1
379	49	57	1
380	14	33	0
381	49	65	1
382	61	40	1
383	40	4	0
384	35	39	1
385	56	84	0
386	70	14	0
387	53	46	1
388	99	81	0
389	83	75	0
390	35	12	0
391	72	23	0
392	44	44	1
393	90	53	0
394	95	93	0
395	0	56	0
396	8	48	0
397	80	75	0
398	82	11	0
399	4	45	0
400	67	0	0
401	82	49	0
402	50	20	0
403	34	10	0
404	84	41	0
405	29	27	1
406	76	10	0
407	91	2	0
408	0	100	0
409	28	44	1
410	93	65	0
411	96	98	0
412	58	63	1
413	83	53	0
414	26	84	0
415	92	79	0
416	78	52	0
417	96	92	0
418	74	4	0
419	81	100	0
420	80	2	0
421	45	88	0
422	12	44	0
423	66	59	1
424	19	53	0
425	86	6	0
426	81	95	0
427	53	8	0
428	67	17	0
429	49	0	0
430	51	38	1
431	6	24	0
432	86	73	0
433	2	78	0
434	13	10	0
435	43	29	1
436	61	95	0
437	99	64	0
438	11	64	0
439	28	43	1
440	21	99	0
441	62	55	1
442	34	13	0
443	99	42	0
444	15	18	0
445	53	5	0
446	53	53	1
447	70	34	1
448	22	10	0
449	86	88	0
450	8	28	0
451	19	88	0
452	4	93	0
453	96	29	0
454	40	44	1
455	44	86	0
456	55	6	0
457	81	67	0
458	9	47	0
459	74	31	1
460	77	68	0
461	40	48	1
462	40	35	1
463	43	13	0
464	20	28	0
465	53	100	0
466	58	52	1
467	23	86	0
468	88	57	0
469	71	64	1
470	35	59	1
471	22	21	0
472	98	14	0
473	54	7	0
474	91	79	0
475	98	51	0
476	28	47	1
477	24	94	0
478	65	4	0
479	41	21	0
480	91	91	0
481	7	55	0
482	3	11	0
483	55	0	0
484	52	20	0
485	35	88	0
486	8	41	0
487	16	48	0
488	52	39	1
489	76	51	0
490	56	17	0
491	15	13	0
492	36	82	0
493	90	1	0
494	50	89	0
495	0	64	0
496	41	29	1
497	50	60	1
498	89	1	0
499	35	10	0
500	27	74	1
501	13	50	0
502	59	14	0
503	49	76	0
504	31	39	1
505	48	85	0
506	34	4	0
507	81	78	0
508	60	84	0
509	39	16	0
510	64	96	0
511	67	25	0
512	30	24	0
513	81	8	0
514	39	24	0
515	35	6	0
516	35	76	0
517	73	45	1
518	3	62	0
519	53	63	1
520	16	63	0
521	14	81	0
522	25	96	0
523	99	66	0
524	99	16	0
525	28	84	0
526	66	34	1
527	3	76	0
528	17	10	0
529	56	37	1
530	1	64	0
531	28	81	0
532	60	16	0
533	11	68	0
534	11	84	0
535	35	20	0
536	73	59	1
537	45	92	0
538	25	54	0
539	9	93	0
540	82	87	0
541	75	38	0
542	50	49	1
543	7	8	0
544	84	51	0
545	40	91	0
546	6	23	0
547	69	20	0
548	34	79	0
549	36	73	1
550	37	56	1
551	55	96	0
552	25	8	0
553	90	11	0
554	66	35	1
555	9	81	0
556	16	89	0
557	78	82	0
558	55	98	0
559	80	52	0
560	97	74	0
561	77	22	0
562	23	45	0
563	35	46	1
564	64	23	0
565	14	64	0
566	33	57	1
567	61	70	1
568	0	35	0
569	45	32	1
570	14	2	0
571	75	9	0
572	84	81	0
573	24	10	0
574	55	47	1
575	28	85	0
576	2	16	0
577	56	48	1
578	89	81	0
579	47	93	0
580	50	80	0
581	16	75	0
582	12	31	0
583	13	20	0
584	7	50	0
585	35	10	0
586	0	28	0
587	79	67	0
588	12	72	0
589	67	11	0
590	5	67	0
591	4	14	0
592	59	99	0
593	3	85	0
594	30	90	0
595	20	21	0
596	68	29	1
597	46	45	1
598	85	28	0
599	51	44	1
600	17	7	0
601	63	68	1
602	6	80	0
603	74	76	0
604	88	77	0
605	85	44	0
606	83	15	0
607	57	17	0
608	71	25	0
609	17	92	0
610	71	21	0
611	58	40	1
612	66	62	1
613	2	63	0
614	16	99	0
615	30	79	0
616	55	95	0
617	24	33	0
618	81	35	0
619	93	48	0
620	60	55	1
621	6	11	0
622	78	45	0
623	70	79	0
624	23	28	0
625	21	20	0
626	22	30	0
627	68	65	1
628	86	16	0
629	66	87	0
630	32	2	0
631	91	36	0
632	10	8	0
633	56	11	0
634	55	43	1
635	13	68	0
636	67	89	0
637	95	20	0
638	94	56	0
639	38	76	0
640	19	49	0
641	79	5	0
642	30	91	0
643	48	29	1
644	55	88	0
645	51	24	0
646	30	34	1
647	1	57	0
648	55	29	1
649	23	33	0
650	11	45	0
651	51	72	1
652	44	4	0
653	48	34	1
654	9	9	0
655	56	74	1
656	97	2	0
657	95	34	0
658	57	63	1
659	41	79	0
660	91	79	0
661	92	78	0
662	93	49	0
663	57	33	1
664	12	38	0
665	70	14	0
666	24	73	0
667	73	23	0
668	77	16	0
669	16	40	0
670	40	29	1
671	79	53	0
672	4	42	0
673	45	34	1
674	68	92	0
675	60	72	1
676	93	35	0
677	48	61	1
678	58	61	1
679	16	38	0
680	26	33	1
681	41	81	0
682	34	3	0
683	2	62	0
684	47	86	0
685	62	66	1
686	27	6	0
687	44	2	0
688	60	21	0
689	45	83	0
690	19	7	0
691	37	32	1
692	80	91	0
693	45	78	0
694	97	25	0
695	61	81	0
696	83	83	0
697	67	20	0
698	62	2	0
699	43	77	0
700	50	50	1
701	35	40	1
702	44	24	0
703	69	38	1
704	43	33	1
705	89	23	0
706	26	17	0
707	100	29	0
708	84	20	0
709	66	55	1
710	25	47	0
711	95	65	0
712	56	36	1
713	18	53	0
714	83	32	0
715	70	41	1
716	67	80	0
717	28	90	0
718	14	48	0
719	80	72	0
720	29	25	0
721	36	5	0
722	79	74	0
723	15	22	0
724	6	4	0
725	8	87	0
726	68	82	0
727	82	44	0
728	54	70	1
729	90	77	0
730	73	45	1
731	95	100	0
732	42	2	0
733	26	50	1
734	85	79	0
735	85	4	0
736	25	72	0
737	39	89	0
738	96	90	0
739	77	1	0
740	6	6	0
741	55	21	0
742	79	81	0
743	78	88	0
744	13	77	0
745	75	36	0
746	51	23	0
747	43	21	0
748	25	84	0
749	72	46	1
750	61	54	1
751	95	65	0
752	45	13	0
753	90	59	0
754	49	53	1
755	51	28	1
756	28	70	1
757	56	31	1
758	81	68	0
759	0	10	0
760	53	77	0
761	39	73	1
762	91	100	0
763	47	87	0
764	86	13	0
765	31	26	1
766	71	38	1
767	14	55	0
768	46	32	1
769	81	81	0
770	93	100	0
771	30	93	0
772	2	96	0
773	47	36	1
774	0	83	0
775	14	55	0
776	100	96	0
777	16	35	0
778	91	86	0
779	81	41	0
780	92	95	0
781	69	17	0
782	56	44	1
783	29	47	1
784	59	64	1
785	65	18	0
786	79	39	0
787	70	58	1
788	66	72	1
789	75	35	0
790	49	34	1
791	20	32	0
792	67	58	1
793	68	74	1
794	44	64	1
795	13	76	0
796	9	43	0
797	78	54	0
798	88	49	0
799	40	98	0
800	17	59	0
801	16	18	0
802	56	97	0
803	85	2	0
804	19	47	0
805	59	55	1
806	40	61	1
807	43	79	0
808	87	41	0
809	9	45	0
810	71	0	0
811	49	24	0
812	9	65	0
813	91	20	0
814	95	9	0
815	85	25	0
816	86	24	0
817	52	6	0
818	27	76	0
819	22	32	0
820	9	31	0
821	64	9	0
822	61	6	0
823	46	74	1
824	26	41	1
825	62	60	1
826	50	62	1
827	27	1	0
828	81	79	0
829	7	29	0
830	42	78	0
831	36	85	0
832	97	52	0
833	47	55	1
834	38	17	0
835	95	43	0
836	23	58	0
837	82	73	0
838	17	41	0
839	97	52	0
840	55	4	0
841	83	46	0
842	57	55	1
843	1	5	0
844	3	42	0
845	8	75	0
846	17	86	0
847	25	82	0
848	12	8	0
849	99	69	0
850	84	53	0
851	24	82	0
852	25	85	0
853	8	47	0
854	48	57	1
855	23	100	0
856	37	13	0
857	68	30	1
858	61	21	0
859	86	83	0
860	2	8	0
861	82	24	0
862	84	18	0
863	68	99	0
864	12	58	0
865	41	51	1
866	3	71	0
867	26	18	0
868	66	18	0
869	85	91	0
870	67	5	0
871	4	5	0
872	54	30	1
873	14	32	0
874	48	20	0
875	91	13	0
876	55	2	0
877	65	48	1
878	89	87	0
879	1	79	0
880	87	15	0
881	25	77	0
882	82	10	0
883	73	42	1
884	51	72	1
885	59	59	1
886	17	76	0
887	85	7	0
888	34	83	0
889	66	24	0
890	18	88	0
891	5	28	0
892	8	44	0
893	19	15	0
894	29	96	0
895	56	4	0
896	25	66	0
897	27	35	1
898	89	25	0
899	27	57	1
900	51	73	1
901	79	27	0
902	44	91	0
903	38	1	0
904	62	100	0
905	97	93	0
906	59	9	0
907	19	61	0
908	89	18	0
909	24	89	0
910	27	30	1
911	95	72	0
912	73	93	0
913	35	33	1
914	77	75	0
915	100	40	0
916	79	72	0
917	53	89	0
918	32	13	0
919	49	99	0
920	53	2	0
921	94	24	0
922	40	15	0
923	51	32	1
924	37	68	1
925	92	1	0
926	50	86	0
927	37	87	0
928	74	57	1
929	11	64	0
930	13	86	0
931	82	57	0
932	42	27	1
933	47	97	0
934	77	45	0
935	49	34	1
936	100	91	0
937	80	68	0
938	91	66	0
939	65	63	1
940	18	79	0
941	9	44	0
942	6	59	0
943	62	97	0
944	48	59	1
945	48	82	0
946	83	60	0
947	90	34	0
948	60	57	1
949	51	84	0
950	98	44	0
951	90	49	0
952	87	58	0
953	18	91	0
954	57	54	1
955	17	53	0
956	0	82	0
957	10	12	0
958	39	37	1
959	6	54	0
960	14	72	0
961	60	80	0
962	11	58	0
963	60	76	0
964	13	100	0
965	78	16	0
966	90	3	0
967	42	65	1
968	38	91	0
969	53	48	1
970	47	95	0
971	38	88	0
972	15	53	0
973	75	73	0
974	67	45	1
975	6	73	0
976	0	78	0
977	66	41	1
978	65	12	0
979	29	39	1
980	62	94	0
981	16	52	0
982	10	71	0
983	49	72	1
984	63	47	1
985	97	61	0
986	100	99	0
987	21	91	0
988	74	63	1
989	42	18	0
990	100	46	0
991	32	33	1
992	18	59	0
993	43	16	0
994	85	75	0
995	60	60	1
996	52	66	1
997	99	38	0
998	91	32	0
999	93	86	0
1000	77	14	0
1001	92	76	0
1002	23	36	0
1003	2	48	0
1004	70	35	1
1005	69	43	1
1006	50	95	0
1007	85	42	0
1008	61	100	0
1009	56	1	0
1010	15	53	0
1011	33	87	0
1012	95	31	0
1013	41	21	0
1014	63	13	0
1015	83	71	0
1016	98	83	0
1017	74	20	0
1018	40	15	0
1019	65	65	1
1020	4	48	0
1021	46	65	1
1022	35	1	0
1023	10	70	0
1024	54	70	1
1025	11	14	0
1026	64	17	0
1027	31	11	0
1028	59	56	1
1029	14	97	0
1030	68	90	0
1031	17	76	0
1032	43	84	0
1033	98	19	0
1034	9	11	0
1035	47	71	1
1036	5	24	0
1037	67	96	0
1038	7	100	0
1039	50	96	0
1040	84	87	0
1041	36	33	1
1042	14	20	0
1043	14	69	0
1044	26	39	1
1045	45	64	1
1046	37	99	0
1047	77	33	0
1048	79	84	0
1049	100	88	0
1050	61	47	1
1051	53	29	1
1052	20	65	0
1053	25	80	0
1054	84	64	0
1055	76	4	0
1056	80	54	0
1057	81	41	0
1058	94	9	0
1059	94	21	0
1060	70	23	0
1061	96	45	0
1062	15	29	0
1063	49	52	1
1064	67	5	0
1065	83	91	0
1066	40	90	0
1067	70	60	1
1068	15	28	0
1069	12	92	0
1070	97	14	0
1071	30	13	0
1072	18	17	0
1073	40	79	0
1074	84	33	0
1075	34	74	1
1076	24	64	0
1077	87	21	0
1078	82	65	0
1079	23	48	0
1080	79	19	0
1081	66	67	1
1082	21	67	0
1083	47	73	1
1084	92	70	0
1085	28	30	1
1086	37	50	1
1087	82	26	0
1088	56	8	0
1089	71	74	1
1090	5	64	0
1091	82	7	0
1092	82	66	0
1093	31	81	0
1094	29	52	1
1095	33	57	1
1096	58	13	0
1097	46	42	1
1098	69	55	1
1099	23	10	0
1100	20	43	0
1101	64	60	1
1102	94	70	0
1103	47	98	0
1104	15	15	0
1105	56	93	0
1106	73	22	0
1107	18	10	0
1108	39	79	0
1109	5	72	0
1110	81	57	0
1111	93	60	0
1112	69	2	0
1113	35	0	0
1114	6	42	0
1115	76	7	0
1116	92	96	0
1117	26	20	0
1118	12	44	0
1119	64	20	0
1120	92	25	0
1121	17	19	0
1122	53	3	0
1123	12	35	0
1124	25	15	0
1125	19	93	0
1126	26	100	0
1127	60	0	0
1128	12	45	0
1129	53	49	1
1130	79	23	0
1131	98	35	0
1132	12	31	0
1133	49	18	0
1134	13	15	0
1135	2	58	0
1136	81	25	0
1137	75	72	0
1138	26	97	0
1139	69	93	0
1140	39	14	0
1141	55	14	0
1142	7	40	0
1143	91	84	0
1144	27	78	0
1145	91	61	0
1146	68	24	0
1147	26	16	0
1148	4	94	0
1149	76	27	0
1150	77	34	0
1151	93	25	0
1152	79	6	0
1153	33	83	0
1154	58	5	0
1155	10	12	0
1156	56	84	0
1157	78	29	0
1158	75	0	0
1159	37	81	0
1160	99	63	0
1161	54	4	0
1162	61	33	1
1163	98	6	0
1164	5	32	0
1165	1	58	0
1166	60	7	0
1167	4	14	0
1168	81	50	0
1169	20	47	0
1170	0	13	0
1171	2	94	0
1172	43	12	0
1173	84	89	0
1174	51	92	0
1175	71	95	0
1176	54	9	0
1177	69	49	1
1178	69	73	1
1179	41	81	0
1180	61	7	0
1181	91	31	0
1182	77	19	0
1183	62	30	1
1184	93	3	0
1185	100	76	0
1186	33	13	0
1187	63	46	1
1188	6	43	0
1189	98	88	0
1190	82	63	0
1191	5	87	0
1192	94	26	0
1193	40	90	0
1194	9	53	0
1195	8	67	0
1196	89	29	0
1197	89	70	0
1198	68	94	0
1199	65	23	0
1200	80	58	0
1201	67	49	1
1202	83	79	0
1203	97	59	0
1204	22	56	0
1205	93	45	0
1206	38	20	0
1207	34	80	0
1208	31	2	0
1209	54	65	1
1210	68	69	1
1211	21	53	0
1212	97	0	0
1213	91	6	0
1214	97	98	0
1215	83	64	0
1216	45	44	1
1217	97	30	0
1218	98	45	0
1219	15	47	0
1220	79	99	0
1221	12	63	0
1222	12	71	0
1223	57	61	1
1224	45	22	0
1225	31	77	0
1226	0	17	0
1227	73	23	0
1228	65	29	1
1229	62	68	1
1230	52	26	1
1231	41	29	1
1232	66	74	1
1233	86	75	0
1234	64	41	1
1235	91	23	0
1236	96	97	0
1237	49	46	1
1238	86	85	0
1239	64	54	1
1240	57	51	1
1241	73	77	0
1242	7	43	0
1243	80	12	0
1244	25	100	0
1245	65	6	0
1246	1	46	0
1247	32	7	0
1248	12	53	0
1249	3	90	0
1250	49	14	0
1251	11	28	0
1252	71	35	1
1253	92	77	0
1254	72	45	1
1255	2	56	0
1256	38	66	1
1257	44	56	1
1258	79	3	0
1259	55	81	0
1260	8	1	0
1261	97	43	0
1262	70	85	0
1263	1	19	0
1264	57	82	0
1265	77	27	0
1266	36	47	1
1267	30	66	1
1268	18	4	0
1269	68	87	0
1270	21	48	0
1271	15	33	0
1272	37	77	0
1273	23	100	0
1274	56	64	1
1275	91	35	0
1276	72	89	0
1277	34	99	0
1278	94	77	0
1279	6	87	0
1280	13	83	0
1281	45	20	0
1282	62	12	0
1283	91	2	0
1284	94	8	0
1285	4	72	0
1286	6	12	0
1287	38	67	1
1288	22	85	0
1289	10	78	0
1290	29	8	0
1291	99	98	0
1292	88	18	0
1293	71	54	1
1294	5	81	0
1295	38	36	1
1296	92	27	0
1297	34	1	0
1298	66	54	1
1299	74	19	0
1300	51	67	1
1301	32	64	1
1302	39	5	0
1303	27	7	0
1304	62	81	0
1305	17	17	0
1306	64	56	1
1307	68	5	0
1308	24	64	0
1309	97	66	0
1310	16	93	0
1311	8	12	0
1312	46	39	1
1313	45	19	0
1314	89	67	0
1315	38	81	0
1316	44	88	0
1317	51	16	0
1318	22	2	0
1319	52	2	0
1320	68	28	1
1321	48	48	1
1322	27	83	0
1323	39	70	1
1324	70	93	0
1325	38	1	0
1326	100	71	0
1327	57	88	0
1328	39	16	0
1329	63	77	0
1330	48	75	0
1331	0	0	0
1332	80	49	0
1333	70	19	0
1334	72	67	1
1335	6	49	0
1336	67	96	0
1337	84	10	0
1338	81	24	0
1339	42	96	0
1340	41	3	0
1341	99	30	0
1342	64	84	0
1343	28	98	0
1344	53	65	1
1345	80	73	0
1346	96	55	0
1347	59	35	1
1348	96	17	0
1349	44	44	1
1350	57	40	1
1351	80	14	0
1352	25	49	0
1353	52	50	1
1354	88	28	0
1355	70	10	0
1356	85	60	0
1357	14	76	0
1358	36	50	1
1359	88	46	0
1360	28	82	0
1361	16	29	0
1362	57	23	0
1363	39	33	1
1364	36	29	1
1365	68	61	1
1366	40	88	0
1367	80	84	0
1368	14	51	0
1369	91	40	0
1370	60	33	1
1371	8	15	0
1372	38	85	0
1373	60	74	1
1374	15	41	0
1375	62	32	1
1376	44	63	1
1377	82	69	0
1378	52	72	1
1379	48	44	1
1380	4	3	0
1381	95	35	0
1382	36	93	0
1383	90	91	0
1384	38	56	1
1385	61	78	0
1386	78	63	0
1387	61	54	1
1388	76	98	0
1389	7	17	0
1390	97	71	0
1391	37	77	0
1392	66	95	0
1393	33	55	1
1394	55	0	0
1395	77	11	0
1396	60	49	1
1397	2	78	0
1398	54	13	0
1399	55	45	1
1400	28	68	1
1401	31	85	0
1402	64	75	0
1403	29	92	0
1404	57	35	1
1405	94	66	0
1406	82	52	0
1407	65	4	0
1408	0	27	0
1409	63	4	0
1410	6	5	0
1411	18	62	0
1412	90	74	0
1413	47	58	1
1414	75	75	0
1415	93	91	0
1416	72	49	1
1417	57	51	1
1418	20	70	0
1419	92	93	0
1420	53	20	0
1421	81	32	0
1422	5	48	0
1423	55	55	1
1424	64	23	0
1425	67	34	1
1426	83	70	0
1427	71	41	1
1428	34	44	1
1429	63	99	0
1430	37	6	0
1431	5	5	0
1432	20	20	0
1433	77	42	0
1434	25	96	0
1435	48	64	1
1436	98	12	0
1437	92	15	0
1438	64	90	0
1439	22	0	0
1440	56	37	1
1441	8	19	0
1442	21	82	0
1443	69	40	1
1444	57	86	0
1445	80	90	0
1446	16	14	0
1447	95	10	0
1448	27	88	0
1449	71	64	1
1450	16	70	0
1451	78	58	0
1452	87	73	0
1453	72	85	0
1454	34	95	0
1455	75	87	0
1456	75	79	0
1457	37	89	0
1458	18	14	0
1459	85	92	0
1460	41	98	0
1461	32	13	0
1462	69	84	0
1463	40	56	1
1464	24	9	0
1465	5	32	0
1466	67	99	0
1467	39	11	0
1468	30	41	1
1469	63	26	1
1470	35	19	0
1471	0	15	0
1472	52	6	0
1473	8	97	0
1474	28	71	1
1475	100	39	0
1476	3	18	0
1477	84	36	0
1478	14	45	0
1479	37	54	1
1480	37	39	1
1481	37	5	0
1482	91	66	0
1483	76	63	0
1484	74	37	1
1485	52	66	1
1486	72	37	1
1487	2	28	0
1488	69	45	1
1489	31	47	1
1490	58	19	0
1491	5	40	0
1492	56	56	1
1493	65	36	1
1494	67	48	1
1495	98	82	0
1496	40	57	1
1497	11	63	0
1498	40	0	0
1499	0	39	0
1500	98	83	0
1501	95	100	0
1502	90	7	0
1503	35	30	1
1504	80	81	0
1505	28	98	0
1506	10	30	0
1507	31	15	0
1508	64	83	0
1509	21	95	0
1510	69	5	0
1511	69	34	1
1512	39	13	0
1513	66	26	1
1514	33	38	1
1515	58	14	0
1516	98	12	0
1517	78	51	0
1518	37	47	1
1519	40	69	1
1520	25	79	0
1521	8	38	0
1522	78	92	0
1523	74	54	1
1524	59	84	0
1525	31	60	1
1526	6	37	0
1527	37	80	0
1528	58	88	0
1529	68	28	1
1530	5	40	0
1531	88	34	0
1532	17	46	0
1533	65	37	1
1534	87	10	0
1535	84	40	0
1536	66	16	0
1537	6	93	0
1538	89	43	0
1539	10	34	0
1540	75	88	0
1541	91	80	0
1542	91	35	0
1543	27	27	1
1544	79	65	0
1545	19	12	0
1546	9	74	0
1547	80	11	0
1548	22	99	0
1549	11	47	0
1550	17	39	0
1551	73	64	1
1552	28	58	1
1553	72	10	0
1554	90	0	0
1555	62	47	1
1556	76	21	0
1557	28	15	0
1558	19	62	0
1559	60	21	0
1560	62	80	0
1561	100	54	0
1562	80	38	0
1563	10	65	0
1564	76	97	0
1565	3	92	0
1566	88	42	0
1567	83	63	0
1568	76	40	0
1569	32	39	1
1570	6	48	0
1571	18	39	0
1572	55	75	0
1573	46	21	0
1574	24	8	0
1575	34	71	1
1576	67	8	0
1577	33	94	0
1578	73	7	0
1579	100	55	0
1580	26	49	1
1581	60	1	0
1582	72	74	1
1583	19	66	0
1584	98	16	0
1585	85	71	0
1586	90	81	0
1587	1	96	0
1588	52	36	1
1589	9	48	0
1590	94	84	0
1591	30	24	0
1592	43	3	0
1593	78	53	0
1594	82	33	0
1595	60	1	0
1596	82	93	0
1597	89	1	0
1598	78	71	0
1599	20	85	0
1600	28	67	1
1601	4	72	0
1602	27	33	1
1603	80	16	0
1604	87	64	0
1605	44	74	1
1606	63	35	1
1607	43	25	0
1608	65	59	1
1609	31	88	0
1610	76	93	0
1611	36	9	0
1612	13	88	0
1613	42	89	0
1614	14	85	0
1615	24	96	0
1616	68	30	1
1617	38	15	0
1618	27	21	0
1619	67	52	1
1620	5	13	0
1621	47	0	0
1622	95	81	0
1623	16	63	0
1624	52	72	1
1625	22	100	0
1626	93	91	0
1627	34	33	1
1628	20	73	0
1629	71	89	0
1630	63	79	0
1631	7	53	0
1632	0	20	0
1633	70	10	0
1634	6	58	0
1635	62	60	1
1636	91	67	0
1637	43	14	0
1638	21	5	0
1639	25	76	0
1640	11	68	0
1641	27	12	0
1642	2	29	0
1643	44	81	0
1644	25	65	0
1645	75	65	0
1646	50	50	1
1647	61	29	1
1648	82	85	0
1649	62	25	0
1650	67	0	0
1651	14	2	0
1652	2	99	0
1653	37	67	1
1654	21	48	0
1655	48	56	1
1656	69	52	1
1657	8	22	0
1658	94	14	0
1659	19	1	0
1660	89	93	0
1661	42	18	0
1662	16	59	0
1663	6	46	0
